City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Bambous Virieux,MU,2022-10-03 02:18:22,-20.3428,57.7575,70.21,73,40,10.36
184,Grindavik,IS,2022-10-03 02:18:22,63.8424,-22.4338,48.15,81,75,20.71
185,Lompoc,US,2022-10-03 02:18:23,34.6391,-120.4579,65.01,85,0,6.91
186,Santarem,BR,2022-10-03 02:18:23,-2.4431,-54.7083,78.62,68,99,1.28
187,Narsaq,GL,2022-10-03 02:18:23,60.9167,-46.05,35.82,65,48,4.45
188,Luderitz,NA,2022-10-03 02:18:24,-26.6481,15.1594,57.2,77,0,18.01
189,Murud,IN,2022-10-03 02:18:24,18.3258,72.965,78.31,83,89,4.09
190,Anadyr,RU,2022-10-03 02:18:25,64.75,177.4833,34.3,74,75,11.18
191,Cabo Rojo,PR,2022-10-03 02:18:25,18.0866,-67.1457,79.97,90,71,6.46
192,Brae,GB,2022-10-03 02:18:25,60.3964,-1.353,53.46,94,52,15.01
193,Pryazha,RU,2022-10-03 02:18:26,61.6926,33.6216,27.63,96,84,5.06
194,Badarwas,IN,2022-10-03 02:18:26,24.9667,77.5667,72.79,73,0,6.13
195,Kavieng,PG,2022-10-03 02:18:27,-2.5744,150.7967,85.35,67,10,8.77
196,Huitziltepec,MX,2022-10-03 02:18:27,17.8167,-99.4667,63.88,89,10,5.17
197,Lunino,RU,2022-10-03 02:18:27,53.5918,45.2271,58.8,79,100,15.41
198,Vao,NC,2022-10-03 02:18:28,-22.6667,167.4833,69.85,75,96,14.65
199,Marawi,PH,2022-10-03 02:18:28,7.9986,124.2928,81.95,60,100,2.01
200,Floro,NO,2022-10-03 02:18:28,61.5996,5.0328,51.76,82,75,11.5
201,Sao Paulo De Olivenca,BR,2022-10-03 02:18:29,-3.3783,-68.8725,73.38,96,19,1.1
202,Salalah,OM,2022-10-03 02:18:29,17.0151,54.0924,78.89,89,75,4.61
203,Sabzevar,IR,2022-10-03 02:18:29,36.2126,57.6819,54.68,35,0,11.5
204,Cairns,AU,2022-10-03 02:15:08,-16.9167,145.7667,92.07,53,85,13.8
205,Fomboni,KM,2022-10-03 02:18:30,-12.28,43.7425,74.48,73,5,3.49
206,Bengkulu,ID,2022-10-03 02:18:30,-3.8004,102.2655,79.39,80,80,0.63
207,Muzhi,RU,2022-10-03 02:18:31,65.3667,64.6667,37.17,92,100,11.23
208,Hervey Bay,AU,2022-10-03 02:18:31,-25.2986,152.8535,73.02,57,15,8.99
209,Saint Anthony,US,2022-10-03 02:18:31,45.0205,-93.218,66.13,67,75,11.5
210,Pyshchug,RU,2022-10-03 02:18:32,58.8873,45.7134,44.49,95,96,3.09
211,Guerrero Negro,MX,2022-10-03 02:18:32,27.9769,-114.0611,68.74,77,0,15.32
212,Iquique,CL,2022-10-03 02:13:59,-20.2208,-70.1431,59.04,71,52,2.08
213,Mitsamiouli,KM,2022-10-03 02:18:33,-11.3847,43.2844,73.13,77,3,4.83
214,Sechelt,CA,2022-10-03 02:18:33,49.4664,-123.7694,70.3,62,21,3.2
215,Falmouth,GB,2022-10-03 02:18:33,50.1544,-5.0711,54.5,87,100,4.61
216,Anzio,IT,2022-10-03 02:18:34,41.4853,12.6179,66.31,82,80,6.67
217,Olafsvik,IS,2022-10-03 02:18:34,64.8945,-23.7142,46.96,82,46,25.46
218,Baghdad,IQ,2022-10-03 02:14:56,33.3406,44.4009,67.91,40,0,4.61
219,Esik,KZ,2022-10-03 02:18:34,43.3552,77.4525,36.82,37,7,2.37
220,Bam,IR,2022-10-03 02:18:35,29.106,58.357,73.35,22,0,4.65
221,Trelew,AR,2022-10-03 02:18:35,-43.249,-65.3051,48.18,61,98,16.04
222,Kulhudhuffushi,MV,2022-10-03 02:18:35,6.6221,73.07,80.02,78,100,16.96
223,Nuevo Progreso,MX,2022-10-03 02:18:36,23.1667,-97.95,73.47,80,51,5.1
224,Seminole,US,2022-10-03 02:18:05,28.7086,-81.2081,75.2,72,0,3.44
225,Fougamou,GA,2022-10-03 02:18:36,-1.2154,10.5838,72.45,99,100,0.67
226,Dhidhdhoo,MV,2022-10-03 02:19:37,6.8833,73.1,80.33,78,100,17.6
227,Praesto,DK,2022-10-03 02:19:37,55.1178,12.0573,54.93,83,52,17.94
228,Gushikawa,JP,2022-10-03 02:19:37,26.3544,127.8686,87.03,74,40,13.8
229,Alta Floresta,BR,2022-10-03 02:19:38,-9.8756,-56.0861,79.86,58,85,3.53
230,Sao Filipe,CV,2022-10-03 02:19:38,14.8961,-24.4956,77.61,74,67,9.57
231,Mar Del Plata,AR,2022-10-03 02:19:38,-38.0023,-57.5575,51.1,80,75,8.05
232,Angoche,MZ,2022-10-03 02:19:39,-16.2325,39.9086,72.77,89,20,2.73
233,Haines Junction,CA,2022-10-03 02:19:39,60.7522,-137.5108,51.75,46,87,8.05
234,Longyearbyen,SJ,2022-10-03 02:15:40,78.2186,15.6401,35.44,100,75,0.0
235,Mujiayingzi,CN,2022-10-03 02:19:40,42.1167,118.7833,35.29,93,100,16.13
236,Takhli,TH,2022-10-03 02:19:40,15.2634,100.3438,75.56,96,100,3.69
237,Nurota,UZ,2022-10-03 02:19:40,40.5614,65.6886,51.4,30,61,2.08
238,Acari,PE,2022-10-03 02:19:41,-15.4311,-74.6158,67.1,70,56,2.91
239,Tuy Hoa,VN,2022-10-03 02:19:41,13.0833,109.3,81.9,79,99,5.86
240,Tombouctou,ML,2022-10-03 02:19:42,20.0,-3.0,89.2,30,2,4.34
241,Tiznit,MA,2022-10-03 02:19:42,29.5833,-9.5,74.8,30,0,5.35
242,Shimoda,JP,2022-10-03 02:19:43,34.6667,138.95,75.56,65,45,8.32
243,Sinnamary,GF,2022-10-03 02:19:43,5.3833,-52.95,78.13,90,100,7.43
